"","Year","Country Name","GDP (constant 2010 US$)","GDP per capita (constant 2010 US$)","Household final consumption expenditure (current US$)","Gross domestic savings (current US$)"
"1",1992,"Algeria",92521819701.8253,3403.90345222401,188,168
"2",1992,"Egypt, Arab Rep.",94546599458.8784,1574.84393008298,207,238
"3",1992,"Morocco",45330392242.2896,1741.92088835927,166,242
"4",1992,"Nigeria",130697966487.245,1304.09028331803,164,249
"5",1992,"South Africa",215937687810.741,5587.46791093587,258,204
"6",1993,"Algeria",90578860785.6483,3259.84367977166,203,160
"7",1993,"Egypt, Arab Rep.",97289194505.7786,1587.73137950583,211,240
"8",1993,"Morocco",44994679123.3821,1699.40366249622,163,233
"9",1993,"Nigeria",133430047764.441,1298.44095341091,146,213
"10",1993,"South Africa",218601322187.619,5517.51301769613,257,200
"11",1994,"Algeria",89763654164.5903,3164.8985771543,176,149
"12",1994,"Egypt, Arab Rep.",101154661853.797,1618.58478291278,217,250
"13",1994,"Morocco",49758715929.222,1848.78323736102,170,239
"14",1994,"Nigeria",134643945417.105,1277.99292628393,147,211
"15",1994,"South Africa",225671201442.386,5564.09209568517,262,203
"16",1995,"Algeria",93174668346.0474,3223.55756040321,174,150
"17",1995,"Egypt, Arab Rep.",105850733344.84,1661.33176493045,221,255
"18",1995,"Morocco",47069034480.2997,1722.19330628966,184,244
"19",1995,"Nigeria",134229957065.962,1242.73804698383,165,221
"20",1995,"South Africa",232702289242.201,5617.19063674468,268,209
"21",1996,"Algeria",96994828322.4354,3297.86337455833,185,162
"22",1996,"Egypt, Arab Rep.",111131341206.463,1711.46506057622,226,254
"23",1996,"Morocco",52892827880.8586,1907.78644656958,201,257
"24",1996,"Nigeria",140933005864.349,1272.72925005516,196,219
"25",1996,"South Africa",242724143583.019,5750.36487809063,265,206
"26",1997,"Algeria",98061771373.7004,3281.10213909542,186,167
"27",1997,"Egypt, Arab Rep.",117233700753.719,1772.21044889868,236,256
"28",1997,"Morocco",52067328269.9329,1853.01285455932,179,252
"29",1997,"Nigeria",144882310095.277,1276.24081980144,194,222
"30",1997,"South Africa",249148636835.491,5804.75057970919,267,205
"31",1998,"Algeria",103062925254.282,3397.41019779189,195,158
"32",1998,"Egypt, Arab Rep.",121965690626.027,1810.16933207493,244,145
"33",1998,"Morocco",55836249260.847,1962.03423982711,191,268
"34",1998,"Nigeria",148816792319.924,1278.65131530213,200,225
"35",1998,"South Africa",250437633174.889,5746.08711436022,263,199
"36",1999,"Algeria",106360940460.508,3457.13704649758,190,165
"37",1999,"Egypt, Arab Rep.",129412261131.643,1885.7431439716,248,153
"38",1999,"Morocco",56440024805.3577,1958.95378604297,192,259
"39",1999,"Nigeria",149522537467.564,1253.04789356196,197,236
"40",1999,"South Africa",256343222422.554,5795.19797273605,261,201
"41",2000,"Algeria",110423586430.994,3541.07203679729,173,197
"42",2000,"Egypt, Arab Rep.",136359108297.002,1950.60698229459,253,156
"43",2000,"Morocco",57519650790.1246,1972.3002866719,178,251
"44",2000,"Nigeria",157474285635.205,1287.05925568582,181,172
"45",2000,"South Africa",266993115882.642,5946.81097230154,260,198
"46",2001,"Algeria",113745564598.73,3600.4372541096,177,191
"47",2001,"Egypt, Arab Rep.",141179746359.354,1982.11163303315,252,157
"48",2001,"Morocco",61730070507.7354,2091.23451593821,172,266
"49",2001,"Nigeria",164420579040.972,1310.50596814504,209,243
"50",2001,"South Africa",274296699994.536,6053.38603398267,255,196
"51",2002,"Algeria",120125920931.173,3754.51627515001,189,192
"52",2002,"Egypt, Arab Rep.",144526355905.341,1990.99216101758,242,152
"53",2002,"Morocco",63656943581.251,2130.73391780987,183,147
"54",2002,"Nigeria",170643319497.931,1326.24296912489,223,258
"55",2002,"South Africa",284357345790.308,6201.16347954802,250,194
"56",2003,"Algeria",128777236288.584,3974.17503202227,204,207
"57",2003,"Egypt, Arab Rep.",149140048724.194,2015.89799743556,237,151
"58",2003,"Morocco",67451637210.908,2230.90475266458,206,159
"59",2003,"Nigeria",188312043745.758,1426.90330680975,229,263
"60",2003,"South Africa",292743266131.235,6306.64921536304,145,212
"61",2004,"Algeria",134316749131.751,4091.1442350798,208,214
"62",2004,"Egypt, Arab Rep.",155239787829.625,2059.37751488092,232,154
"63",2004,"Morocco",70687304633.4949,2310.33844900451,210,164
"64",2004,"Nigeria",251840571175.265,1860.06237676129,243,170
"65",2004,"South Africa",306076462874.938,6512.02948870131,152,215
"66",2005,"Algeria",142251902308.528,4273.31275146765,212,223
"67",2005,"Egypt, Arab Rep.",162192916084.429,2112.48796951889,241,161
"68",2005,"Morocco",73014076004.5985,2358.44357888445,213,163
"69",2005,"Nigeria",260515639753.024,1875.02964242477,259,179
"70",2005,"South Africa",322228459815.331,6768.55697245857,154,217
"71",2006,"Algeria",144648118986.031,4282.32823091748,214,234
"72",2006,"Egypt, Arab Rep.",173309468988.768,2217.39483045864,254,173
"73",2006,"Morocco",78544623310.6445,2507.67465818724,218,171
"74",2006,"Nigeria",281906487385.062,1976.70846883522,264,216
"75",2006,"South Africa",340285062558.051,7054.90819543312,156,220
"76",2007,"Algeria",149526919452.577,4359.37574752245,220,246
"77",2007,"Egypt, Arab Rep.",185597580010.744,2333.46731261569,266,182
"78",2007,"Morocco",81318500633.8362,2566.21670054174,222,175
"79",2007,"Nigeria",301156185312.512,2056.83859079469,150,180
"80",2007,"South Africa",358525924711.796,7334.24150204073,161,226
"81",2008,"Algeria",153055956405.236,4390.49963275957,225,264
"82",2008,"Egypt, Arab Rep.",198881943532.621,2456.73142628729,148,202
"83",2008,"Morocco",86135221236.4504,2686.22829742839,227,193
"84",2008,"Nigeria",320039472272.419,2128.66663180797,151,218
"85",2008,"South Africa",369966672130.252,7465.39121122766,157,227
"86",2009,"Algeria",155554202821.621,4386.03889558891,224,232
"87",2009,"Egypt, Arab Rep.",208177377018.708,2524.43244383914,153,195
"88",2009,"Morocco",89790590993.4885,2765.85615386279,228,183
"89",2009,"Nigeria",342232340656.562,2216.49939424471,149,178
"90",2009,"South Africa",364276211550.019,7248.43931489548,159,230
"91",2010,"Algeria",161207268655.392,4463.39467488951,231,248
"92",2010,"Egypt, Arab Rep.",218888324504.753,2602.47954869567,155,210
"93",2010,"Morocco",93216746661.5977,2834.20471989688,230,186
"94",2010,"Nigeria",369062464570.387,2327.32066957391,182,260
"95",2010,"South Africa",375349396273.835,7362.76138986481,168,247
"96",2011,"Algeria",165869166838.539,4504.92009813206,239,262
"97",2011,"Egypt, Arab Rep.",222783648066.582,2593.59690162311,160,208
"98",2011,"Morocco",98106615021.8513,2942.03881663557,235,187
"99",2011,"Nigeria",387099974051.551,2376.63877298209,199,148
"100",2011,"South Africa",387676610391.739,7494.32662853454,187,253
"101",2012,"Algeria",171466867482.163,4564.43501678967,247,267
"102",2012,"Egypt, Arab Rep.",227719662137.556,2593.22646622202,171,189
"103",2012,"Morocco",101059586129.684,2987.31591963857,234,176
"104",2012,"Nigeria",403665055423.226,2412.86078154877,198,166
"105",2012,"South Africa",396256897776.321,7546.81389906479,180,241
"106",2013,"Algeria",176212451150.234,4596.21962738807,251,265
"107",2013,"Egypt, Arab Rep.",232696398050.994,2591.05945107009,175,190
"108",2013,"Morocco",105643067055.469,3077.31500512412,240,184
"109",2013,"Nigeria",425440429014.358,2475.94805767418,215,146
"110",2013,"South Africa",406120854504.726,7617.81949015431,169,237
"111",2014,"Algeria",182889354514.369,4675.88502447667,256,261
"112",2014,"Egypt, Arab Rep.",239481619965.763,2608.37519741866,193,169
"113",2014,"Morocco",108338137492.341,3110.20901005033,246,185
"114",2014,"Nigeria",452284521417.451,2563.09211574979,219,155
"115",2014,"South Africa",413023274872.972,7627.85192611531,167,235
"116",2015,"Algeria",189772334940.908,4759.5952415194,249,231
"117",2015,"Egypt, Arab Rep.",249951802078.734,2665.35161379275,202,174
"118",2015,"Morocco",113222464583.184,3204.75361390755,233,188
"119",2015,"Nigeria",464282244075.104,2562.52221567701,216,245
"120",2015,"South Africa",418387832595.749,7605.39536715871,162,228
"121",2016,"Algeria",196793911332.903,4846.41824654373,245,229
"122",2016,"Egypt, Arab Rep.",260693936973.86,2724.39680691031,205,177
"123",2016,"Morocco",114467911703.47,3196.04028048802,238,181
"124",2016,"Nigeria",457127392114.333,2457.81104858493,143,143
"125",2016,"South Africa",419556630060.646,7504.29525014765,158,224
